#LON	LAT
-107.8	39.53
-107.88	38.5
-107.9	35.17
-107.97	43.97
-108.17	32.63
-108.23	36.75
-108.45	43.05
-108.53	39.12
-108.53	45.8
-108.63	37.3
-108.73	42.82
-108.78	35.52
-109.02	44.52
-109.07	41.6
-109.45	47.05
-109.52	40.45
-109.6	31.45
-109.68	32.82
-109.75	38.77
-109.77	48.55
-109.78	38.03
-109.83	46.43
-110.1	42.57
-110.15	39
-110	34.27
-110.35	31.6
-110.42	44.55
-110.43	45.7
-110.63	40.5
-110.72	38.37
-110.73	35.02
-110.73	43.6
-110.7	37.5
-110.75	39.62
-110.88	32.17
-110.93	32.12
-111.12	44.68
-111.1	44.65
-111.15	45.78
-111.18	47.5
-111.33	34.23
-111.37	47.48
-111	41.33
-111.45	36.93
-111.58	42.65
-111.67	33.3
-111.67	35.13
-111.72	40.22
-111.73	33.47
-111.85	41.78
-111.92	33.62
-111.97	40.78
-111.97	41.12
-112.02	33.43
-112.02	41.18
-112.07	43.52
-112.08	33.68
-112.15	35.95
-112.2	40.17
-112.32	42.17
-112.32	44.57
-112.37	48.6
-112.38	33.42
-112.38	33.53
-112.43	34.65
-112	46.6
-112.5	45.95
-112.55	45.25
-112.58	39.33
-112.6	42.92
-112.93	40.2
-113.03	38.72
-113.07	41.05
-113.1	37.7
-113.15	46.67
-113.17	33.55
-113.37	42.3
-113.6	37.08
-113.77	42.53
-113.9	45.18
-113.95	35.27
-114.05	41.22
-114.08	46.92
-114.22	44.52
-114.27	48.3
-114.3	43.5
-114.4	32.85
-114.47	45.17
-114.48	42.48
-114.52	37.62
-114.62	32.65
-114.62	34.77
-114.72	33.62
-114.85	39.28
-115.03	36.23
-115.17	36.08
-115.17	43
-115	33.1
-115.37	47.6
-115.43	45.82
-115.57	32.83
-115.57	36.53
-115.67	36.57
-115.68	32.82
-115.78	40.83
-115.8	47.47
-115.87	43.05
-115.97	39.5
-116.02	36.62
-116.08	37.58
-116.13	45.92
-116.1	44.88
-116.15	34.28
-116.17	33.63
-116.17	42.58
-116.22	43.57
-116.25	41.33
-116.47	32.62
-116.5	33.83
-116.62	35.28
-116.68	34.27
-116.78	34.87
-116.82	47.77
-116.87	40.62
-116.95	33.93
-116.97	32.82
-116.98	32.57
-117.02	44.02
-117.02	46.38
-117.08	38.07
-117.08	39.5
-117.12	32.57
-117.12	46.75
-117.13	32.82
-117.13	39.83
-117.1	35.33
-117.15	32.87
-117.17	32.73
-117.2	32.7
-117.23	34.1
-117.27	33.88
-117.28	33.13
-117.33	47.67
-117.35	33.3
-117.38	34.58
-117.45	33.95
-117.53	47.63
-117.58	33.38
-117.62	33.42
-117.62	34.05
-117.63	33.97
-117.65	47.62
-117.68	35.68
-117.73	33.67
-117.78	34.1
-117.82	44.83
-117.83	33.7
-117.8	40.9
-117.88	33.67
-117.88	34.9
-117.97	33.87
-118.03	34.08
-118.05	33.78
-118.07	34.23
-118.13	35.05
-118.15	33.82
-118.15	35.05
-118.22	34.73
-118.28	46.1
-118.33	33.8
-118.33	33.92
-118.37	34.2
-118.4	33.93
-118.4	45.5
-118	45.28
-118.45	34.02
-118.47	48.88
-118.48	34.22
-118.58	33.02
-118.63	38.55
-118.6	37.6
-118.73	34.75
-118.7	39.42
-118.85	45.68
-118.92	37.63
-118.92	40.1
-118.95	43.6
-119.05	35.43
-119.12	34.12
-119.12	46.27
-119.2	34.2
-119.32	47.2
-119.4	36.32
-119.45	33.25
-119.52	47.32
-119.53	48.42
-119.6	46.57
-119.72	36.77
-119.78	39.5
-119.83	34.43
-119.95	36.33
-120.13	39.32
-120.2	47.4
-120.35	42.18
-120	38.9
-120.4	34.03
-120.45	34.9
-120.52	37.28
-120.53	41.48
-120.53	46.57
-120.57	37.38
-120.63	35.67
-120.65	35.23
-120.7	39.28
-120.95	35.2
-120.95	37.63
-120.95	40.63
-121.12	34.95
-121.15	44.27
-121.15	45.62
-121.25	37.9
-121.28	35.67
-121.32	36
-121.33	47.28
-121.3	38.57
-121.4	38.67
-121.45	39.13
-121.47	36.12
-121.5	38.52
-121.57	39.1
-121.6	36.67
-121.6	38.7
-121.73	42.15
-121.77	36.68
-121.82	37.33
-121.82	37.7
-121.85	36.58
-121.85	39.78
-121.88	45.68
-121.92	37.37
-121.93	38.27
-122.05	37.42
-122.05	37.98
-122.12	37.47
-122.12	37.65
-122.22	37.73
-122.22	47.5
-122.25	37.52
-122.25	40.15
-122.28	38.22
-122.28	47.92
-122.32	37.78
-122.32	41.32
-122.33	48.5
-122.3	40.5
-122.3	47.45
-122.3	47.53
-122.38	37.62
-122.4	45.55
-122.47	41.78
-122.48	47.15
-122.53	41.73
-122.53	48.8
-122.58	47.08
-122.58	47.27
-122.6	45.6
-122.65	48.35
-122.68	37.75
-122.68	48.25
-122.75	45.25
-122.77	47.48
-122.82	38.52
-122.83	37.83
-122.8	46.48
-122.87	42.37
-122.9	46.97
-122.95	45.53
-123.15	47.25
-123.22	44.12
-123.2	39.13
-123.28	44.5
-123.37	42.62
-123.37	43.23
-123	44.92
-123.5	48.12
-123.67	48.22
-123.88	46.15
-123.97	46.97
-124.05	44.63
-124.07	40.03
-124.1	40.98
-124.22	39.58
-124.23	41.78
-124.25	43.42
-124.28	41.33
-124.47	42.08
-124.55	47.95
-124.95	43.38
-131.57	55.03
-131.7	55.35
-132.37	56.48
-132.97	56.82
-133.25	55.8
-133.95	56.97
-134.03	57.45
-134.22	56
-134.58	58.37
-134.65	56.25
-134.9	58.25
-134.97	57.83
-135.35	57.07
-135.37	59.62
-135.43	59.23
-135.45	58.1
-135.53	59.75
-135.73	58.42
-136.35	58.2
-137.05	58.33
-139.67	59.52
-141.15	64.77
-141.93	62.97
-142.92	61.43
-143.63	70.13
-143.92	62.73
-144.07	65.83
-145.27	66.57
-145.45	62.15
-145.5	60.5
-145.5	63.03
-145	60.33
-145.73	64
-146.25	61.13
-146.33	59.43
-146.35	61.13
-146.67	62.03
-147.08	60.38
-147.3	61.9
-147.87	64.82
-148.33	70.25
-148.47	70.2
-148.48	67.5
-148.72	60.78
-148.95	63.38
-149.03	61.63
-149.08	61.6
-149.08	64.55
-149.48	68.48
-149	63.83
-149.75	60.18
-149.83	62.88
-149.83	65.93
-149.85	61.22
-149.88	70.5
-150.02	61.17
-150.05	61.75
-150.1	62.3
-150.65	65
-150.65	66.82
-151.25	60.57
-151.2	61.97
-151.52	66.92
-151.5	59.63
-152.08	61.98
-152.13	69.37
-152.1	65.17
-152.27	63.9
-152.3	60.82
-152.5	57.75
-153.23	70.92
-153.25	62.17
-154.2	56.88
-154.3	60.2
-154.47	62.85
-154.92	59.75
-155.07	19.72
-155.62	62.97
-156.05	19.75
-156.12	20
-156.43	20.9
-156.47	20.42
-156.65	58.68
-156.78	71.3
-156.83	20.97
-156.95	20.8
-157.1	21.15
-157.85	67.1
-157.93	21.35
-158.12	21.53
-158.28	21.75
-158.52	59.05
-158.62	56.95
-159.35	21.98
-159.53	61.58
-159.67	22.38
-159.85	70.62
-160.3	22.05
-160.5	55.33
-160.8	63.88
-161.8	60.78
-162.63	66.87
-162.72	55.2
-162.92	69.82
-163.3	62.07
-165.43	64.5
-166.03	66.27
-166.27	60.37
-166.47	24.45
-166.53	53.88
-166.87	65.25
-168.08	66.03
-169.42	53.58
-170.22	57.15
-171.73	63.77
-173.3	53.5
-174.13	53.2
-176.65	51.88
-67.78	46.13
-67.88	46.95
-68.02	46.87
-68.05	46.68
-68.37	44.45
-68.82	44.8
-69.12	44.07
-69.55	45.45
-69.63	45.78
-69.8	44.32
-69.93	43.88
-69.97	41.67
-70.07	41.25
-70.28	41.67
-70.32	43.65
-70.52	41.65
-70.5	41.78
-70.62	41.4
-70.82	43.08
-70.88	44.88
-70.92	42.58
-70.93	42.15
-70.97	41.68
-71.03	42.37
-71.12	42.72
-71.18	42.18
-71.18	44.58
-71.25	41.36
-71.28	42.47
-71.3	44.27
-71.38	44
-71.42	41.6
-71.43	41.73
-71.43	42.93
-71.43	43.57
-71.52	42.78
-71.5	43.2
-71.58	41.17
-71.6	42.57
-71.87	42.27
-72.02	44.42
-72.05	41.33
-72.08	41.3
-72.27	42.9
-72.33	45.55
-72.3	43.63
-72	42.8
-72.53	42.2
-72.57	44.2
-72.63	40.85
-72.65	41.73
-72.67	41.22
-72.68	41.93
-72.72	42.17
-72.88	41.27
-72.88	42.88
-72.9	41.27
-73.13	41.17
-73.1	40.78
-73.15	44.47
-73.18	42.26
-73.43	40.73
-73.47	44.65
-73.48	41.37
-73.62	43.35
-73.72	41.07
-73.78	40.65
-73.8	42.75
-73.88	41.63
-73.93	42.85
-73.9	40.77
-73.95	43.53
-73.98	40.77
-74.05	40.85
-74.1	41.5
-74.17	40.7
-74.2	44.38
-74.28	40.28
-74.28	40.87
-74.35	40.03
-74.37	40.75
-74.42	40.8
-74.57	39.45
-74.6	40.02
-74.82	40.28
-74.8	41.7
-74.85	44.93
-75.02	40.08
-75.07	39.37
-75.12	42.87
-75.13	38.55
-75.15	40.2
-75.25	39.88
-75.38	43.15
-75.43	40.65
-75.4	43.23
-75.4	44.68
-75.47	39.13
-75.48	37.85
-75.5	35.25
-75.5	38.33
-75.55	35.27
-75.6	39.67
-75.68	35.92
-75.73	41.33
-75.73	44.05
-75.97	40.38
-75.98	42.22
-76.02	44
-76.03	36.82
-76.12	43.12
-76.17	39.47
-76.18	36.27
-76.2	36.9
-76.2	37.5
-76.28	36.93
-76.3	40.13
-76.37	37.08
-76.42	39.33
-76.4	38.28
-76.47	42.48
-76.5	36.13
-76.5	37.13
-76.57	40.43
-76.62	37.13
-76.67	39.18
-76.77	39.08
-76.77	40.2
-76.85	40.22
-76.87	38.82
-76.88	34.9
-76.92	41.25
-76.9	42.17
-77.04	38.85
-77.05	35.08
-77.18	38.72
-77.33	37.5
-77.3	38.5
-77.42	40.37
-77.43	34.7
-77.43	39.73
-77.46	38.95
-77.62	34.82
-77.63	35.32
-77.67	43.12
-77.72	39.7
-77.83	40.85
-77.88	35.85
-77.92	34.27
-77.97	35.33
-77.98	39.4
-78.13	41.47
-78.2	42.97
-78.32	40.3
-78.45	38.13
-78.63	41.8
-78.72	33.82
-78.73	42.93
-78.78	35.87
-78.83	40.32
-78.85	38.27
-78.88	35
-78.93	33.68
-78.93	35.13
-78.9	41.18
-78.95	43.1
-78.98	36.95
-79.02	35.17
-79.09	40.27
-79.2	37.33
-79.25	42.15
-79.33	36.57
-79.39	35.24
-79.4	40.28
-79.5	35.03
-79.72	34.18
-79.82	37.95
-79.85	38.88
-79.87	41.38
-79.92	39.65
-79.93	40.35
-79.95	36.08
-79.97	37.32
-80.03	32.9
-80.12	26.68
-80.13	26.13
-80.15	26.07
-80.18	42.08
-80.22	40.5
-80.23	36.13
-80.23	39.28
-80.2	37.46
-80.28	25.82
-80.28	25.92
-80.33	40.75
-80.38	25.48
-80.42	27.65
-80.43	25.65
-80.4	37.87
-80.47	33.97
-80.55	28.47
-80.6	28.23
-80.63	28.1
-80.65	40.18
-80.67	41.27
-80.68	28.62
-80.72	32.48
-80.8	28.52
-80.8	33.92
-80.93	35.22
-81.05	29.18
-81.12	33.95
-81.12	37.78
-81.15	32.02
-81.22	37.3
-81.2	32.13
-81.25	28.78
-81.32	28.43
-81.33	28.55
-81.38	31.15
-81.38	35.75
-81.42	30.4
-81.43	39.35
-81.43	40.92
-81.4	41.63
-81.48	41.57
-81.52	30.33
-81.55	28.08
-81.57	29.12
-81.57	31.88
-81.6	38.37
-81.68	24.57
-81.68	30.23
-81.68	41.52
-81.7	30.5
-81.75	24.55
-81.8	26.13
-81.87	26.58
-81.87	26.65
-81.87	41.42
-81.88	30.22
-81.9	39.95
-81.95	28.03
-81.96	34.92
-81.97	33.37
-82.22	34.9
-82.23	39.21
-82.27	29.68
-82.35	34.85
-82.4	31.25
-82.4	36.48
-82.52	27.85
-82.52	31.53
-82.52	37.48
-82.52	40.82
-82.53	27.97
-82.53	43.83
-82.55	27.4
-82.55	35.43
-82.55	38.37
-82.6	27.97
-82.68	27.92
-82.72	34.5
-82.77	27.6
-82.82	35.9
-82.83	42.62
-82.88	40
-82.93	39.82
-83.02	42.42
-83.07	40.08
-83.1	29.62
-83.2	30.97
-83.28	30.78
-83.32	33.95
-83.32	37.6
-83.33	42.23
-83.42	42.67
-83.4	44.45
-83.53	42.23
-83.57	45.07
-83.6	32.63
-83.65	32.7
-83.67	41.02
-83.75	42.22
-83.75	42.97
-83.8	41.6
-83.98	35.82
-84.05	39.83
-84.07	37.08
-84.08	43.53
-84.18	31.53
-84.2	39.9
-84.3	33.88
-84.37	30.38
-84.37	46.47
-84.42	33.65
-84.43	39.1
-84.47	42.27
-84.47	46.25
-84.52	33.78
-84.52	33.92
-84.6	42.77
-84.67	39.05
-84.68	44.37
-84.8	45.57
-84.87	34.53
-84.93	32.52
-85.03	29.73
-85.07	33.01
-85.08	35.95
-85.17	34.35
-85.18	30.84
-85.23	42.3
-85.2	35.03
-85.2	41
-85	32.33
-85	38.05
-85.38	40.23
-85.44	32.67
-85.45	31.32
-85.51	35.15
-85.52	42.88
-85.55	42.23
-85.58	30.07
-85.58	44.73
-85.67	38.23
-85.68	30.2
-85.72	31.28
-85.73	38.18
-85.85	33.58
-85.92	45.92
-85.95	43.07
-85.97	37.9
-86.02	31.87
-86.09	33.97
-86.15	40.65
-86.25	43.17
-86.25	44.27
-86.27	39.73
-86.32	41.7
-86.37	32.38
-86	41.72
-86.4	32.3
-86.43	36.97
-86.43	42.13
-86.52	30.65
-86.52	30.78
-86.53	30.48
-86.5	36
-86.5	39.38
-86.62	39.13
-86.68	30.43
-86.68	36.12
-86.75	33.57
-86.77	34.65
-86.93	40.42
-86.99	32.34
-87.02	30.72
-87.08	45.73
-87.17	37.75
-87.2	30.47
-87.25	32.9
-87.32	30.35
-87.3	39.45
-87.42	36.62
-87.42	41.62
-87.4	46.35
-87.53	38.05
-87.5	36.67
-87.62	33.23
-87.62	34.75
-87.62	41.87
-87.63	45.12
-87.6	40.2
-87.65	41.9
-87.67	44.13
-87.75	41.78
-87.82	42.08
-87.85	41.07
-87.85	47.47
-87.9	41.98
-87.9	42.95
-87.95	46.88
-88.05	43.12
-88.07	30.63
-88.12	45.82
-88.13	44.48
-88.25	30.68
-88.25	41.92
-88.28	39.48
-88.28	40.03
-88.32	41.77
-88.45	33.65
-88.52	44.25
-88.53	44.22
-88.5	47.17
-88.57	32.55
-88.57	44
-88.58	33.45
-88.68	41.37
-88.72	41.93
-88.75	32.33
-88.77	34.27
-88.77	37.07
-88.86	38.32
-88.87	39.83
-88.92	30.42
-88.92	35.6
-88.93	40.48
-88.96	38.63
-89.03	42.62
-89.05	28.78
-89.07	30.4
-89.09	38.51
-89.1	42.2
-89.17	31.67
-89.17	38.99
-89.22	37.07
-89.25	37.78
-89.33	31.47
-89.33	39.53
-89.33	43.13
-89	37.75
-89.4	36.02
-89.45	45.63
-89.54	34.39
-89.58	37.23
-89.62	44.92
-89.6	41.16
-89.67	29.55
-89.67	39.85
-89.67	41.74
-89.67	44.78
-89.68	40.67
-89.82	30.35
-89.85	38.55
-89.87	35.35
-89.95	35.97
-90.02	29.83
-90.03	30.03
-90.05	38.88
-90.07	29.18
-90.08	32.32
-90.08	33.5
-90.13	46.53
-90.15	38.57
-90.18	43.2
-90.25	29.98
-90.27	43.93
-90	35.05
-90.37	38.75
-90.43	40.93
-90.47	31.18
-90.47	36.77
-90.52	41.45
-90.63	38.65
-90.65	29.57
-90.65	35.83
-90.66	40.52
-90.7	42.4
-90.83	47.58
-90.93	36.13
-90.98	33.48
-91.12	40.78
-91.1	29.7
-91.15	30.53
-91.2	29.7
-91.2	39.93
-91.25	31.62
-91.25	43.87
-91.48	44.87
-91.72	45.48
-91.7	41.88
-91.77	38.13
-91.78	28.47
-91.82	47.9
-91.88	30.03
-91.93	34.17
-91.9	36.88
-91.98	28.3
-92.05	32.52
-92.12	29.73
-92.13	37.75
-92.15	34.92
-92.17	38.6
-92.18	46.83
-92.22	38.82
-92.25	34.83
-92	30.2
-92.3	31.38
-92.38	35.22
-92.42	37.22
-92.4	33.52
-92.4	42.55
-92.45	41.1
-92.5	43.92
-92.55	31.33
-92.55	40.1
-92.8	33.22
-92.85	47.38
-92.95	31.22
-93.05	44.93
-93.1	34.48
-93.15	36.27
-93.22	30.12
-93.22	44.88
-93.2	31.05
-93.3	29.78
-93.33	43.15
-93.37	43.68
-93.38	37.23
-93.38	45.07
-93.38	48.57
-93.47	44.83
-93.52	47.22
-93.55	38.73
-93.65	41.53
-93.67	32.5
-93.72	40.25
-93.75	28.22
-93.75	32.52
-93.82	32.47
-93.92	44.22
-93.93	40.62
-94.02	30.58
-94.07	45.55
-94.13	36.18
-94.13	46.4
-94.17	36
-94.18	42.55
-94.32	46.6
-94	33.45
-94.35	37.33
-94.37	35.33
-94.42	43.65
-94.4	28.13
-94.52	45.13
-94.5	37.17
-94.55	38.85
-94.62	34.68
-94.6	39.12
-94.72	32.38
-94.72	39.32
-94.75	31.23
-94.75	43.4
-94.87	29.27
-94.88	38.82
-94.92	39.37
-94.93	47.5
-94.9	38.85
-95.07	46.9
-95.08	44.55
-95.15	43.17
-95.17	29.62
-95.28	29.65
-95.35	29.97
-95.35	48.93
-95.36	35.66
-95.38	45.87
-95.4	32.37
-95.45	33.63
-95.48	37.67
-95.53	40.28
-95.55	30.07
-95.58	40.07
-95.58	43.65
-95.62	39.07
-95.67	38.95
-95.78	34.88
-95.82	44.45
-95.87	28.03
-95.88	46.82
-95.92	41.12
-95.9	36.2
-95.9	41.3
-96.02	41.37
-96.07	33.07
-96.07	46.3
-96.18	48.07
-96.2	38.33
-96.25	28.72
-96	36.75
-96.37	30.58
-96.38	42.4
-96.67	33.72
-96.67	39.15
-96.73	43.58
-96.75	40.32
-96.75	40.85
-96.77	39.05
-96.83	32.97
-96.8	44.3
-96.8	46.9
-96.85	32.85
-96.87	32.68
-96.92	28.85
-96.97	32.73
-97.02	34.3
-97.03	28.08
-97.03	32.9
-97.09	36.16
-97.1	36.73
-97.15	44.92
-97.15	46.1
-97.18	47.95
-97.22	31.62
-97.22	37.75
-97.27	37.62
-97.28	27.7
-97.35	32.82
-97.35	41.45
-97.38	35.42
-97.38	42.92
-97.42	31.15
-97.43	25.9
-97.43	32.78
-97.43	37.65
-97.43	41.98
-97.4	47.97
-97.47	35.23
-97.5	27.77
-97.6	35.4
-97.65	35.53
-97.65	38.8
-97.65	39.55
-97.67	26.23
-97.67	28.37
-97.68	30.2
-97.68	31.08
-97.72	31.15
-97.7	30.3
-97.82	27.5
-97.83	31.07
-97.8	36.38
-97.87	38.07
-97.92	36.33
-98.03	27.73
-98.03	43.77
-98.07	32.78
-98.18	32.22
-98.22	44.38
-98.23	26.18
-98.28	29.53
-98.32	40.97
-98.42	34.57
-98.43	40.6
-98.43	45.45
-98.4	34.65
-98.47	29.33
-98.47	29.53
-98.5	33.98
-98.58	29.38
-98.58	37.3
-98.68	42.47
-98.68	46.92
-98.82	38.87
-98.87	48.1
-98.9	48.12
-98.95	41.62
-98.96	31.79
-99.05	35
-99.08	29.98
-99.15	41.78
-99.17	29.35
-99.22	28.45
-99.2	35.35
-99.27	34.67
-99.27	38.85
-99.32	43.75
-99.32	43.8
-99	40.73
-99.47	27.53
-99.65	41.43
-99.68	32.42
-99.77	30.5
-99.77	36.3
-99.83	39.38
-99.85	32.43
-99.97	37.77
-99.98	42.58
